Date,Open,High,Low,Close,Volume,Adj Close
2016-04-01,74.480003,75.279999,73.18,74.809998,2858400,74.809998
2016-03-01,69.739998,76.25,69.059998,74.830002,2808100,74.830002
2016-02-01,71.699997,71.989998,64.519997,69.07,3460500,69.07
2016-01-04,73.269997,73.580002,64.949997,72.550003,3857700,72.550003
2015-12-01,76.300003,77.669998,71.93,74.150002,2674800,73.273476
2015-11-02,74.790001,77.18,73.68,76.080002,2299200,75.180656
2015-10-01,73.980003,76.620003,70.639999,74.769997,4230500,73.886139
2015-09-01,71.970001,74.709999,70.50,73.790001,2921500,72.145126
2015-08-04,76.080002,77.599998,68.050003,73.339996,3046100,71.705154
2015-07-02,76.440002,78.449997,72.980003,76.260002,2721700,74.560066
2015-06-01,79.25,80.480003,76.269997,76.379997,3279900,73.925537
2015-05-01,80.309998,80.849998,78.07,79.07,1734700,76.529099
2015-04-01,76.440002,81.529999,75.75,80.110001,2422600,77.535683
2015-03-02,78.480003,78.559998,74.379997,76.239998,2668000,73.090912
2015-02-02,72.519997,79.150002,72.160004,78.309998,3037100,75.075409
2015-01-02,80.300003,80.900002,71.739998,71.739998,3404900,68.776779
2014-12-01,83.389999,83.709999,76.629997,80.239998,3237500,76.172592
2014-11-03,80.00,83.870003,79.68,83.160004,1850000,78.94458
2014-10-01,80.25,81.190002,75.25,80.010002,2595800,75.954254
2014-09-02,81.139999,83.199997,79.089996,80.050003,2371200,75.274963
2014-08-01,80.349998,82.150002,78.68,80.769997,1885100,75.952011
2014-07-02,76.440002,81.230003,76.32,80.470001,1949100,75.669907
2014-06-02,75.00,76.709999,74.169998,76.279999,2145800,71.092842
2014-05-01,73.150002,75.93,72.400002,74.639999,1459900,69.564369
2014-04-01,73.110001,73.690002,72.059998,73.150002,1757300,68.17569
2014-03-03,71.290001,73.290001,71.040001,72.889999,2183600,67.277496
2014-02-03,68.809998,73.150002,67.650002,71.949997,2111700,66.409874
2014-01-02,71.300003,73.349998,68.57,68.93,2239200,63.622417
2013-12-02,70.160004,71.699997,67.800003,71.410004,2308200,65.308006
2013-11-01,70.099998,72.040001,69.610001,70.440002,2292600,64.420891
2013-10-01,66.169998,70.75,65.910004,70.019997,2133700,64.036774
2013-09-03,65.260002,67.00,65.050003,66.00,2086700,59.781731
2013-08-01,64.50,65.589996,63.07,64.900002,2165100,58.78537
2013-07-02,61.189999,65.660004,59.93,64.160004,2647900,58.115089
2013-06-03,61.990002,62.07,58.549999,61.279999,3350600,54.97385
2013-05-01,60.830002,64.239998,60.110001,61.529999,2769000,55.198124
2013-04-01,61.25,62.310001,58.82,60.779999,2613600,54.525303
2013-03-01,64.00,64.18,60.130001,61.200001,2947500,54.334785
2013-02-01,62.50,64.919998,61.669998,64.019997,2628900,56.838444
2013-01-02,60.630001,62.860001,60.02,62.119999,1908900,55.151581
2012-12-03,58.91,60.849998,58.209999,59.880001,2565700,52.648048
2012-11-01,57.009998,58.900002,54.509998,58.900002,1937600,51.786407
2012-10-01,56.880001,58.779999,56.23,56.939999,2159600,50.063122
2012-09-04,55.27,56.900002,54.66,56.540001,2728700,49.202442
2012-08-01,51.709999,55.790001,50.450001,55.169998,2793400,48.010235
2012-07-03,52.939999,54.00,50.18,51.380001,2218600,44.71209
2012-06-01,50.689999,53.23,48.700001,52.16,3137800,44.888672
2012-05-01,56.959999,57.09,49.869999,51.549999,2667500,44.363708
2012-04-02,57.619999,58.740002,55.669998,57.09,2466500,49.131409
2012-03-01,56.040001,59.130001,55.389999,57.810001,3510800,49.254833
2012-02-01,52.75,55.970001,52.450001,55.68,3278500,47.440048
2012-01-03,52.299999,54.869999,51.34,52.369999,3853800,44.619884
2011-12-01,47.240002,52.00,46.130001,51.98,4583900,43.851349
2011-11-01,47.689999,47.740002,43.299999,47.259998,3916700,39.869465
2011-10-03,47.709999,50.150002,44.950001,48.619999,3369700,41.016785
2011-09-01,50.290001,50.439999,44.380001,48.060001,4595400,40.088619
2011-08-02,51.77,52.060001,47.91,50.119999,5182700,41.806938
2011-07-04,55.310001,55.810001,50.939999,51.400002,2615600,42.874634
2011-06-01,56.700001,56.830002,53.450001,55.130001,2801900,45.527382
2011-05-02,59.48,60.25,56.459999,56.619999,2659700,46.757847
2011-04-11,60.540001,60.799999,58.959999,59.599998,2392400,49.218788
